Mazzoni EB+12hrDox(iAscl1[bHLH:Ngn2].HA) Ascl1[bHLH:Ngn2].HA Ainv15(iAscl1[bHLH:Ngn2].HA);1;bowtie_unique	Signal	READDB	EB+12hr_iA[N]_Ascl1[Ngn2]	1
Mazzoni EB+12hrDox(iAscl1[bHLH:Ngn2].HA) Ascl1[bHLH:Ngn2].HA Ainv15(iAscl1[bHLH:Ngn2].HA);2;bowtie_unique	Signal	READDB	EB+12hr_iA[N]_Ascl1[Ngn2]	2
Mazzoni EB+12hrDox(iAscl1[basic:Ngn2].HA) Ascl1[basic:Ngn2].HA Ainv15(iAscl1[bHLH:Ngn2].HA);1;bowtie_unique	Signal	READDB	EB+12hr_iA[N]basic_Ascl1[Ngn2]	1
Mazzoni EB+12hrDox(iAscl1[bHLH:Ngn2].HA) Input Ainv15(iAscl1[bHLH:Ngn2].HA);1;bowtie_unique	Control	READDB	EB+12hr_iA[N]_Ascl1[Ngn2]
Mazzoni EB+12hrDox(iAscl1[bHLH:Ngn2].HA) Input Ainv15(iAscl1[bHLH:Ngn2].HA);1;bowtie_unique	Control	READDB	EB+12hr_iA[N]basic_Ascl1[Ngn2]
