Mazzoni EB H3K27ac Ainv15(iNgn2.Isl1.Lhx3.V5);bowtie_unique	Signal	READDB	0h
Mazzoni EB+48hrDox(iAscl1.V5) H3K27ac Ainv15(iAscl1.V5);bowtie_unique	Signal	READDB	ia48h
Mazzoni EB+48hrDox(iFlag.Ngn2) H3K27ac Ainv15(iFlag.Ngn2);bowtie_unique	Signal	READDB	in48h

