Mazzoni EB+24hrDox(iAscl1.V5) Neurod4 Ainv15(iAscl1.V5);1;bowtie_unique	Signal	READDB	Neurod4_iAscl1_24hr	1
Mazzoni EB+24hrDox(iAscl1.V5) Neurod4 Ainv15(iAscl1.V5);2;bowtie_unique	Signal	READDB	Neurod4_iAscl1_24hr	2
Mazzoni EB+24hrDox(iFlag.Ngn2) Neurod4 Ainv15(iFlag.Ngn2);1;bowtie_unique	Signal	READDB	Neurod4_iNgn2_24hr	1
Mazzoni EB+24hrDox(iFlag.Ngn2) Neurod4 Ainv15(iFlag.Ngn2);2;bowtie_unique	Signal	READDB	Neurod4_iNgn2_24hr	2
Mazzoni EB+12hrDox(iAscl1.V5) Input Ainv15(iAscl1.V5);1;bowtie_unique	Control	READDB	Neurod4_iAscl1_24hr
Mazzoni EB+12hrDox(iFlag.Ngn2) Input Ainv15(iFlag.Ngn2);1;bowtie_unique	Control	READDB	Neurod4_iNgn2_24hr
