Mazzoni EB+48hrDox(iAscl1.V5) Onecut2 Ainv15(iAscl1.V5);1;bowtie_unique	Signal	READDB	Onecut2_iAscl1_48hr	1
Mazzoni EB+48hrDox(iAscl1.V5) Onecut2 Ainv15(iAscl1.V5);2;bowtie_unique	Signal	READDB	Onecut2_iAscl1_48hr	2
Mazzoni EB+48hrDox(iFlag.Ngn2) Onecut2 Ainv15(iFlag.Ngn2);1;bowtie_unique	Signal	READDB	Onecut2_iNgn2_48hr	1
Mazzoni EB+48hrDox(iFlag.Ngn2) Onecut2 Ainv15(iFlag.Ngn2);2;bowtie_unique	Signal	READDB	Onecut2_iNgn2_48hr	2
Mazzoni EB+12hrDox(iAscl1.V5) Input Ainv15(iAscl1.V5);1;bowtie_unique	Control	READDB	Onecut2_iAscl1_48hr
Mazzoni EB+12hrDox(iFlag.Ngn2) Input Ainv15(iFlag.Ngn2);1;bowtie_unique	Control	READDB	Onecut2_iNgn2_48hr
